#Input, nodes, System, config, TOTAL, str, nl, field, shear, coll, str_mem, str_comm, nl_mem, nl_comm, field_com, coll_mem, coll_comm, io
nl02, 4, Frontier_GPU, t4_gpu2, 3.1, 0.43, 1.07, 0.15, 0.00, 0.21, 0.01, 0.19, 0.10, 0.28, 0.24, 0.02, 0.21, 0.14
nl02, 4, Perlmutter_GPU, t8_gpu1, 3.4, 0.38, 1.11, 0.18, 0.00, 0.37, 0.01, 0.27, 0.09, 0.20, 0.22, 0.02, 0.35, 0.23
nl02, 8, Stampede3_SPR, t2_omp7, 9.1, 2.42, 1.81, 0.28, 0.00, 0.98, 0.01, 0.63, 0.18, 0.53, 0.66, 0.02, 1.43, 0.12
nl02, 8, Perlmutter_CPU, t1_omp8, 14.5, 2.46, 4.42, 0.77, 0.00, 2.88, 0.02, 0.93, 0.17, 1.33, 0.81, 0.02, 0.47, 0.18
nl02, 8, Stampede3_ICX, t2_omp5, 15.5, 3.97, 4.17, 0.64, 0.00, 3.24, 0.04, 0.47, 0.36, 0.77, 0.48, 0.04, 1.17, 0.12
nl03, 4, Frontier_GPU, t8_gpu2, 37.4, 5.89, 15.05, 0.81, 0.00, 1.01, 0.04, 1.56, 1.38, 4.26, 1.74, 0.14, 4.49, 0.90
nl03, 4, Perlmutter_GPU, t16_gpu1, 42.4, 5.44, 16.98, 1.31, 0.00, 0.79, 0.09, 3.24, 1.31, 3.24, 1.57, 0.21, 6.52, 1.65
nl03, 8, Stampede3_SPR, t4_omp7, 177.5, 62.39, 36.53, 3.79, 0.00, 2.88, 0.22, 11.67, 3.95, 26.70, 6.84, 0.29, 21.59, 0.37
nl03, 8, Perlmutter_CPU, t2_omp8, 227.8, 42.49, 121.84, 12.03, 0.00, 4.70, 0.70, 9.33, 8.66, 9.76, 6.11, 0.59, 10.47, 0.73
nl03, 8, Stampede3_ICX, t4_omp5, 315.7, 78.81, 113.70, 10.69, 0.00, 9.54, 1.06, 14.97, 12.25, 49.10, 6.69, 1.20, 17.25, 0.37
sh04a, 8, Frontier_GPU, t16_gpu2, 28.3, 5.47, 11.04, 0.48, 0.25, 0.25, 0.04, 2.98, 1.01, 1.50, 2.13, 0.08, 2.11, 0.94
sh04a, 8, Perlmutter_GPU, t32_gpu1-80G, 34.8, 4.48, 12.78, 0.69, 0.59, 0.28, 0.06, 4.96, 1.03, 2.64, 3.11, 0.12, 2.76, 1.22
sh04a, 16, Stampede3_SPR, t8_omp7, 119.4, 31.24, 40.45, 3.50, 6.67, 0.71, 0.18, 11.53, 3.48, 6.23, 6.68, 0.07, 8.18, 0.41
sh04a, 16, Perlmutter_CPU, t4_omp8, 239.5, 49.00, 138.27, 10.77, 3.45, 1.07, 0.63, 12.43, 6.46, 6.47, 4.95, 0.19, 4.97, 0.59
sh04a, 16, Stampede3_ICX, t8_omp5, 261.8, 60.50, 137.47, 8.43, 9.10, 2.23, 0.88, 10.96, 10.66, 7.72, 6.58, 0.33, 6.27, 0.59
