#,nl,str,coll,nl_comm,str_comm,coll_comm
cgyro_32_t1,19.44,4.48,0.93,2.91,17.98,0.96
cgyro_32_t2,19.49,4.42,0.95,2.81,18.10,0.96
cgyro_32_t3,19.28,4.41,0.95,3.18,18.19,0.94
cgyro_32_t4,19.24,4.40,0.93,2.98,18.28,0.92
cgyro_32_t5,19.49,4.39,0.93,2.88,18.26,0.95
cgyro_32_t6,19.55,4.47,0.93,2.84,18.01,0.98
cgyro_32_t7,19.44,4.48,0.93,2.89,18.08,0.96
cgyro_32_t8,19.44,4.46,0.95,3.17,18.04,0.91
cgyro_64_t1,11.03,2.67,0.48,2.23,15.77,0.51
cgyro_64_t2,11.04,2.69,0.48,2.21,15.81,0.51
cgyro_64_t3,10.97,2.69,0.48,2.24,15.89,0.51
cgyro_64_t4,11.05,2.69,0.48,2.21,15.74,0.52
cgyro_64_t5,11.05,2.69,0.48,2.21,15.70,0.51
cgyro_64_t6,11.01,2.69,0.48,2.23,15.76,0.51
cgyro_64_t7,10.93,2.70,0.48,2.29,15.77,0.52
cgyro_64_t8,10.95,2.72,0.48,2.29,15.70,0.52
cgyro_32_x4_sum,77.45,17.71,3.76,11.88,72.55,3.78
cgyro_32_x8_sum,155.37,35.51,7.50,23.66,144.94,7.58
xgyro_32_x4,70.86,14.66,3.90,9.23,25.01,5.03
xgyro_32_x8,142.25,29.25,8.41,28.95,32.71,8.44
xgyro_128_x8,36.99,7.97,1.98,3.82,22.65,3.06
